filename,xaxis,yaxis,flog
0,608.15,143.41,4.00
1,-771.33,15.91,3.00
2,-893.21,-637.07,3.00
3,235.61,447.05,4.00
4,-456.51,-429.16,3.00
5,108.96,-689.59,4.00
6,910.07,-23.26,4.00
7,-300.97,-507.06,3.00
8,-984.94,-311.70,3.00
9,89.49,-800.68,4.00
10,563.69,230.17,3.16
11,77.15,291.79,3.00
12,-867.19,371.25,3.00
13,980.16,467.41,3.00
14,-348.34,-201.10,3.00
15,-3.01,548.36,3.00
16,428.10,-329.63,4.00
17,-202.34,199.67,4.00
18,543.97,82.40,3.00
19,-840.16,-105.64,4.00
20,953.21,295.50,3.00
21,-400.18,-354.43,3.00
22,-325.64,196.38,4.00
23,-82.67,157.02,4.00
24,234.90,291.32,3.00
25,-177.61,-217.57,3.00
26,-342.22,-109.26,5.00
27,-25.40,-612.47,3.00
28,414.42,487.50,3.00
29,697.22,-513.91,3.00
30,222.26,18.29,4.00
31,-93.62,558.01,3.00
32,-257.31,-411.51,3.00
33,374.91,-91.46,3.00
34,54.51,-474.69,3.00
35,414.94,-16.63,3.00
36,969.55,60.81,3.00
37,-587.52,189.83,4.00
38,-291.73,133.47,3.16
39,-107.77,-669.79,4.00
40,-491.60,-332.26,4.00
41,89.12,553.47,3.00
42,294.87,-50.16,3.00
43,-836.71,58.68,5.66
44,1045.89,315.77,3.00
45,-821.83,-308.77,8.00
46,-125.40,222.68,4.00
47,-349.90,-423.38,3.00
48,1048.52,405.12,3.00
49,349.83,-169.96,3.00
50,435.38,-163.64,3.00
51,281.31,-129.05,3.00
52,-743.57,-358.60,4.00
53,326.92,-321.61,3.00
54,-36.37,370.49,3.00
55,987.83,-60.38,3.16
56,-508.88,-219.68,3.00
57,-723.61,-280.35,4.00
58,-349.74,-284.03,3.00
59,880.79,56.55,3.16
60,-46.88,628.68,3.00
61,-164.05,130.33,4.00
62,-121.70,-299.71,4.00
63,233.08,-305.41,3.00
64,459.12,129.85,3.00
65,505.24,318.69,3.00
66,788.93,94.52,3.00
67,-579.32,-435.23,3.00
68,-16.38,471.72,3.00
69,1016.86,230.32,4.00
70,186.37,369.24,4.00
71,-694.00,-201.28,3.00
72,485.21,-249.76,3.00
73,198.85,-73.38,4.00
74,284.49,369.11,3.00
75,329.32,30.99,3.00
76,-433.51,-155.04,4.00
77,676.92,618.58,3.00
78,533.92,-164.96,3.00
79,774.39,-220.25,4.00
80,-428.46,-262.22,3.00
81,-202.50,-485.38,3.00
82,-218.74,-316.58,5.66
83,-163.17,-391.40,2.00
84,215.56,-173.74,5.00
85,382.97,-244.89,3.00
86,-379.28,56.12,3.00
87,-850.53,161.90,4.47
88,-302.35,-344.96,3.00
89,832.46,601.51,3.00
90,723.65,-180.98,3.00
91,-778.38,-235.14,4.00
92,-37.91,-448.04,3.00
93,927.22,205.38,3.00
94,-856.69,-418.24,5.00
95,-916.92,-169.37,5.00
96,-252.31,-155.75,3.00
97,157.60,-242.03,3.00
98,902.11,427.28,3.00
99,-882.60,-252.90,4.00
100,-747.55,-137.74,3.00
101,248.50,790.52,3.00
102,965.64,370.66,3.00
103,-270.25,-249.34,3.00
104,-704.59,56.40,3.00
105,-401.06,-510.58,3.00
106,41.31,624.71,3.00
107,-32.25,100.06,3.00
108,675.12,290.03,3.00
109,65.18,472.34,4.00
110,464.84,216.65,3.00
111,-766.20,106.44,3.00
112,868.31,266.87,3.00
113,-70.05,21.19,6.40
114,-136.57,63.74,6.40
115,1037.30,12.88,3.00
116,873.10,344.44,3.00
117,286.43,-228.95,4.00
118,-6729.42,2989.56,3.00
119,126.83,-134.46,3.00
120,-828.30,-184.60,4.00
121,-99.99,474.34,3.00
122,364.11,-607.39,3.00
123,529.31,162.79,3.00
124,483.88,-81.03,3.00
125,813.30,401.14,3.00
126,-620.00,-608.08,4.00
